source_table, destination_table, source_field, target_field, field_type
geographic_regions,geographic_regions_odkx,regionLevel1,regionLevel1,
geographic_regions,geographic_regions_odkx,regionLevel2,regionLevel2,
geographic_regions,geographic_regions_odkx,regionLevel3,regionLevel3,
geographic_regions,geographic_regions_odkx,regionLevel4,regionLevel4,
geographic_regions,geographic_regions_odkx,regionLevel5,regionLevel5,
geographic_regions,geographic_regions_odkx,regionName,regionName,
geographic_regions,geographic_regions_odkx,_id,id_geographic_regions,
geographic_regions,geographic_regions_odkx,_savepoint_timestamp,savepointTimestamp_geographic_regions,
geographic_regions,geographic_regions_odkx,selfUri,selfUri,
health_facilities,health_facilities2_odkx,_row_etag,rowETag,
health_facilities,health_facilities2_odkx,_data_etag_at_modification,dataETagAtModification,
health_facilities,health_facilities2_odkx,_deleted,deleted,
health_facilities,health_facilities2_odkx,_create_user,createUser,
health_facilities,health_facilities2_odkx,_form_id,formId,
health_facilities,health_facilities2_odkx,_locale,locale,
health_facilities,health_facilities2_odkx,_savepoint_type,savepointType,
health_facilities,health_facilities2_odkx,_savepoint_creator,savepointCreator,
health_facilities,health_facilities2_odkx,_last_update_user,lastUpdateUser_health_facilities,
health_facilities,health_facilities2_odkx,_savepoint_timestamp,savepointTimestamp_health_facilities,
health_facilities,health_facilities2_odkx,Location_accuracy,Location_accuracy,
health_facilities,health_facilities2_odkx,Location_altitude,Location_altitude,
health_facilities,health_facilities2_odkx,Location_latitude,Location_latitude,
health_facilities,health_facilities2_odkx,Location_longitude,Location_longitude,
health_facilities,health_facilities2_odkx,admin_region_id,admin_region_id,
health_facilities,health_facilities2_odkx,authority,authority,
health_facilities,health_facilities2_odkx,catchment_population,catchment_population,
health_facilities,health_facilities2_odkx,cceGroupModify,cceGroupModify,
health_facilities,health_facilities2_odkx,cceGroupPrivileged,cceGroupPrivileged,
health_facilities,health_facilities2_odkx,cceGroupReadOnly,cceGroupReadOnly,
health_facilities,health_facilities2_odkx,contact_name,contact_name,
health_facilities,health_facilities2_odkx,contact_phone_number,contact_phone_number,
health_facilities,health_facilities2_odkx,contact_title,contact_title,
health_facilities,health_facilities2_odkx,distance_to_supply,distance_to_supply,
health_facilities,health_facilities2_odkx,electricity_source,electricity_source,
health_facilities,health_facilities2_odkx,facility_level,facility_level,
health_facilities,health_facilities2_odkx,facility_name,facility_name,
health_facilities,health_facilities2_odkx,facility_status,facility_status,
health_facilities,health_facilities2_odkx,fuel_availability,fuel_availability,
health_facilities,health_facilities2_odkx,grid_power_availability,grid_power_availability,
health_facilities,health_facilities2_odkx,immunization_services_offered,immunization_services_offered,
health_facilities,health_facilities2_odkx,number_of_cold_boxes,number_of_cold_boxes,
